Index,julio 23,agosto 23,septiembre 23,octubre 23,noviembre 23,diciembre 23,enero 24,febrero 24,marzo 24,abril 24,mayo 24,junio 24,julio 24,agosto 24,septiembre 24,octubre 24,noviembre 24,diciembre 24,enero 25
ticket avg,3178.00,1808.00,2788.00,7582.00,6193.00,2758.15,5885.91,4481.78,4124.09,3419.92,3646.91,3969.17,3478.03,1993.14,2477.69,4827.94,5401.98,1789.79,1019.85
stdev,2554.00,1259.00,2483.00,8703.00,9618.00,4888.25,14518.92,4919.98,2101.75,2405.10,2335.99,6141.77,4596.39,1716.10,1842.15,7270.21,7937.57,2863.18,2283.87
